timeindex,ghi-profile,elec-profile,water-profile
2022-01-18T05:00:00Z,0.0,1,1
2022-01-18T06:00:00Z,0.0,1,1
2022-01-18T07:00:00Z,1.8871528,1,1
2022-01-18T08:00:00Z,110.2751,1,1
2022-01-18T09:00:00Z,332.74527,1,1
2022-01-18T10:00:00Z,550.7191,1,1
2022-01-18T11:00:00Z,722.5973,1,1
2022-01-18T12:00:00Z,828.4745,1,1
2022-01-18T13:00:00Z,857.9961,1,1
2022-01-18T14:00:00Z,808.3723,1,1
2022-01-18T15:00:00Z,684.2308,1,1
2022-01-18T16:00:00Z,498.0923,1,1
2022-01-18T17:00:00Z,273.52164,1,1
2022-01-18T18:00:00Z,64.39278,1,1
2022-01-18T19:00:00Z,0.0,1,1
2022-01-18T20:00:00Z,0.0,1,1
2022-01-18T21:00:00Z,0.0,1,1
2022-01-18T22:00:00Z,0.0,1,1
2022-01-18T23:00:00Z,0.0,1,1
2022-01-19T00:00:00Z,0.0,1,1
2022-01-19T01:00:00Z,0.0,1,1
2022-01-19T02:00:00Z,0.0,1,1
2022-01-19T03:00:00Z,0.0,1,1
2022-01-19T04:00:00Z,0.0,1,1
2022-01-19T05:00:00Z,0.0,1,1
2022-01-19T06:00:00Z,0.0,1,1
2022-01-19T07:00:00Z,1.8707292,1,1
2022-01-19T08:00:00Z,109.68434,1,1
2022-01-19T09:00:00Z,331.44888,1,1
2022-01-19T10:00:00Z,549.0453,1,1
2022-01-19T11:00:00Z,720.8742,1,1
2022-01-19T12:00:00Z,826.86633,1,1
2022-01-19T13:00:00Z,856.1418,1,1
2022-01-19T14:00:00Z,806.17334,1,1
2022-01-19T15:00:00Z,681.75287,1,1
2022-01-19T16:00:00Z,495.13846,1,1
2022-01-19T17:00:00Z,273.20984,1,1
2022-01-19T18:00:00Z,65.13125,1,1
2022-01-19T19:00:00Z,0.0,1,1
2022-01-19T20:00:00Z,0.0,1,1
2022-01-19T21:00:00Z,0.0,1,1
2022-01-19T22:00:00Z,0.0,1,1
2022-01-19T23:00:00Z,0.0,1,1
2022-01-20T00:00:00Z,0.0,1,1
2022-01-20T01:00:00Z,0.0,1,1
2022-01-20T02:00:00Z,0.0,1,1
2022-01-20T03:00:00Z,0.0,1,1
2022-01-20T04:00:00Z,0.0,1,1
2022-01-20T05:00:00Z,0.0,1,1
2022-01-20T06:00:00Z,0.0,1,1
2022-01-20T07:00:00Z,1.8871528,1,1
2022-01-20T08:00:00Z,109.65153,1,1
2022-01-20T09:00:00Z,332.02325,1,1
2022-01-20T10:00:00Z,551.0637,1,1
2022-01-20T11:00:00Z,724.45166,1,1
2022-01-20T12:00:00Z,832.0026,1,1
2022-01-20T13:00:00Z,863.05035,1,1
2022-01-20T14:00:00Z,814.5917,1,1
2022-01-20T15:00:00Z,691.1065,1,1
2022-01-20T16:00:00Z,504.91885,1,1
2022-01-20T17:00:00Z,279.64258,1,1
2022-01-20T18:00:00Z,68.11784,1,1
2022-01-20T19:00:00Z,0.0,1,1
2022-01-20T20:00:00Z,0.0,1,1
2022-01-20T21:00:00Z,0.0,1,1
2022-01-20T22:00:00Z,0.0,1,1
2022-01-20T23:00:00Z,0.0,1,1
2022-01-21T00:00:00Z,0.0,1,1
2022-01-21T01:00:00Z,0.0,1,1
2022-01-21T02:00:00Z,0.0,1,1
2022-01-21T03:00:00Z,0.0,1,1
2022-01-21T04:00:00Z,0.0,1,1
2022-01-21T05:00:00Z,0.0,1,1
2022-01-21T06:00:00Z,0.0,1,1
2022-01-21T07:00:00Z,1.9035764,1,1
2022-01-21T08:00:00Z,110.25871,1,1
2022-01-21T09:00:00Z,333.35242,1,1
2022-01-21T10:00:00Z,552.7703,1,1
2022-01-21T11:00:00Z,726.2403,1,1
2022-01-21T12:00:00Z,833.92267,1,1
2022-01-21T13:00:00Z,865.21655,1,1
2022-01-21T14:00:00Z,817.1352,1,1
2022-01-21T15:00:00Z,694.0767,1,1
2022-01-21T16:00:00Z,508.23364,1,1
2022-01-21T17:00:00Z,282.662,1,1
2022-01-21T18:00:00Z,69.97219,1,1
2022-01-21T19:00:00Z,0.0,1,1
2022-01-21T20:00:00Z,0.0,1,1
2022-01-21T21:00:00Z,0.0,1,1
2022-01-21T22:00:00Z,0.0,1,1
2022-01-21T23:00:00Z,0.0,1,1
2022-01-22T00:00:00Z,0.0,1,1
2022-01-22T01:00:00Z,0.0,1,1
2022-01-22T02:00:00Z,0.0,1,1
2022-01-22T03:00:00Z,0.0,1,1
2022-01-22T04:00:00Z,0.0,1,1
2022-01-22T05:00:00Z,0.0,1,1
2022-01-22T06:00:00Z,0.0,1,1
2022-01-22T07:00:00Z,1.9363889,1,1
2022-01-22T08:00:00Z,110.34077,1,1
2022-01-22T09:00:00Z,335.68268,1,1
2022-01-22T10:00:00Z,557.3651,1,1
2022-01-22T11:00:00Z,732.83716,1,1
2022-01-22T12:00:00Z,841.25793,1,1
2022-01-22T13:00:00Z,869.9754,1,1
2022-01-22T14:00:00Z,811.94965,1,1
2022-01-22T15:00:00Z,672.23505,1,1
2022-01-22T16:00:00Z,414.7952,1,1
2022-01-22T17:00:00Z,230.15004,1,1
2022-01-22T18:00:00Z,66.247116,1,1
2022-01-22T19:00:00Z,0.0,1,1
2022-01-22T20:00:00Z,0.0,1,1
2022-01-22T21:00:00Z,0.0,1,1
2022-01-22T22:00:00Z,0.0,1,1
2022-01-22T23:00:00Z,0.0,1,1
2022-01-23T00:00:00Z,0.0,1,1
2022-01-23T01:00:00Z,0.0,1,1
2022-01-23T02:00:00Z,0.0,1,1
2022-01-23T03:00:00Z,0.0,1,1
2022-01-23T04:00:00Z,0.0,1,1
2022-01-23T05:00:00Z,0.0,1,1
2022-01-23T06:00:00Z,0.0,1,1
2022-01-23T07:00:00Z,1.8707292,1,1
2022-01-23T08:00:00Z,106.943886,1,1
2022-01-23T09:00:00Z,303.355,1,1
2022-01-23T10:00:00Z,517.45605,1,1
2022-01-23T11:00:00Z,720.6937,1,1
2022-01-23T12:00:00Z,826.3084,1,1
2022-01-23T13:00:00Z,865.8729,1,1
2022-01-23T14:00:00Z,818.0378,1,1
2022-01-23T15:00:00Z,694.6183,1,1
2022-01-23T16:00:00Z,508.26648,1,1
2022-01-23T17:00:00Z,283.942,1,1
2022-01-23T18:00:00Z,72.220345,1,1
2022-01-23T19:00:00Z,0.0,1,1
2022-01-23T20:00:00Z,0.0,1,1
2022-01-23T21:00:00Z,0.0,1,1
2022-01-23T22:00:00Z,0.0,1,1
2022-01-23T23:00:00Z,0.0,1,1
2022-01-24T00:00:00Z,0.0,1,1
2022-01-24T01:00:00Z,0.0,1,1
2022-01-24T02:00:00Z,0.0,1,1
2022-01-24T03:00:00Z,0.0,1,1
2022-01-24T04:00:00Z,0.0,1,1
2022-01-24T05:00:00Z,0.0,1,1
2022-01-24T06:00:00Z,0.0,1,1
2022-01-24T07:00:00Z,1.9363889,1,1
2022-01-24T08:00:00Z,111.062775,1,1
2022-01-24T09:00:00Z,336.20776,1,1
2022-01-24T10:00:00Z,558.12,1,1
2022-01-24T11:00:00Z,734.33044,1,1
2022-01-24T12:00:00Z,844.3922,1,1
2022-01-24T13:00:00Z,877.3106,1,1
2022-01-24T14:00:00Z,829.88574,1,1
2022-01-24T15:00:00Z,706.335,1,1
2022-01-24T16:00:00Z,519.1627,1,1
2022-01-24T17:00:00Z,291.93365,1,1
2022-01-24T18:00:00Z,75.35465,1,1
2022-01-24T19:00:00Z,0.0,1,1
2022-01-24T20:00:00Z,0.0,1,1
2022-01-24T21:00:00Z,0.0,1,1
2022-01-24T22:00:00Z,0.0,1,1
2022-01-24T23:00:00Z,0.0,1,1
2022-01-25T00:00:00Z,0.0,1,1
2022-01-25T01:00:00Z,0.0,1,1
2022-01-25T02:00:00Z,0.0,1,1
2022-01-25T03:00:00Z,0.0,1,1
2022-01-25T04:00:00Z,0.0,1,1
2022-01-25T05:00:00Z,0.0,1,1
2022-01-25T06:00:00Z,0.0,1,1
2022-01-25T07:00:00Z,1.8379166,1,1
2022-01-25T08:00:00Z,87.268295,1,1
2022-01-25T09:00:00Z,289.93164,1,1
2022-01-25T10:00:00Z,489.93652,1,1
2022-01-25T11:00:00Z,708.18933,1,1
2022-01-25T12:00:00Z,834.94006,1,1
2022-01-25T13:00:00Z,868.679,1,1
